File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\LeftView.cpp,CLeftView::OnInitialUpdate(),22,9,7,1,5,0,8,73,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\LeftView.cpp,CLeftView::AssertValid() const,2,2,2,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\LeftView.cpp,CLeftView::Dump(CDumpContext& dc) const,2,2,2,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\LeftView.cpp,CLeftView::GetDocument(),3,3,3,1,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\LeftView.cpp,"CLeftView::InsertVehicleToListView(CString id, CString name, CString maxFuelCapacity, CString fuelUsage, CString fuelRemaining, CString drivenDistance, CString power, CString serviceInterval, CString isServiceNeeded, CString isFuelRemaining)",26,16,16,4,7,0,3,14,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\LeftView.cpp,CLeftView::InsertVehicleToListView(CVehicle* vehicle),26,13,13,0,3,0,10,16,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\LeftView.cpp,CLeftView::CreatTreeFromSerialCollection(CVehicleCollection& vehicles),6,6,4,1,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\LeftView.cpp,CLeftView::GetIdFromSelectedItem(),6,5,5,1,1,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\LeftView.cpp,"CLeftView::OnNMRClick(NMHDR *pNMHDR, LRESULT *pResult)",43,27,22,3,7,0,9,93,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\LeftView.cpp,CLeftView::OnVehiclemenuDelete(),17,13,11,1,4,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\LeftView.cpp,CLeftView::OnVehiclemenuEdit(),82,66,64,4,16,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\LeftView.cpp,"CLeftView::OnLButtonDown(UINT nFlags, CPoint point)",76,51,49,3,20,0,5,62,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\LeftView.cpp,CLeftView::deleteAllItems(),2,2,2,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\LeftView.cpp,CLeftView::deleteAllChildItems(),19,15,11,3,3,0,1,7,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\LeftView.cpp,CLeftView::createRootItem(),2,2,2,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\LeftView.cpp,CLeftView::updateVehicleCollectionInDoc(CVehicleCollection& vehicles),4,3,3,0,0,0,1,3,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\LeftView.cpp,CLeftView::deleteRightViewItems(),5,4,4,0,0,0,1,7,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\LeftView.cpp,"CLeftView::SetItemColor(HTREEITEM hItem, COLORREF color)",6,6,5,1,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\LeftView.cpp,CLeftView::GetItemBold(HTREEITEM hItem),2,2,2,1,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\LeftView.cpp,CLeftView::GetItemColor(HTREEITEM hItem),6,5,4,3,0,0,1,7,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\LeftView.cpp,CLeftView::OnVehiclemenuDrive(),14,12,9,2,2,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\LeftView.cpp,CLeftView::OnVehiclemenuService(),11,10,8,1,1,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\LeftView.cpp,CLeftView::OnVehiclemenuRefuel(),11,10,8,1,1,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\LeftView.cpp,CLeftView::OnPaint(),79,53,41,6,20,0,6,53,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MainFrm.cpp,CMainFrame::CMainFrame(),3,2,2,0,0,0,1,6,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MainFrm.cpp,CMainFrame::~CMainFrame(),1,1,1,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MainFrm.cpp,CMainFrame::OnCreate(LPCREATESTRUCT lpCreateStruct),103,70,58,11,22,4,11,106,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MainFrm.cpp,"CMainFrame::OnCreateClient(LPCREATESTRUCT , CCreateContext* pContext)",13,10,6,5,2,0,1,3,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MainFrm.cpp,CMainFrame::PreCreateWindow(CREATESTRUCT& cs),10,4,3,3,4,0,2,13,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MainFrm.cpp,CMainFrame::AssertValid() const,2,2,2,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MainFrm.cpp,CMainFrame::Dump(CDumpContext& dc) const,2,2,2,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MainFrm.cpp,CMainFrame::GetRightPane(),5,4,4,1,1,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MainFrm.cpp,CMainFrame::GetLeftPane(),5,4,4,1,1,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MainFrm.cpp,CMainFrame::OnUpdateViewStyles(CCmdUI* pCmdUI),59,41,24,10,12,0,6,54,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MainFrm.cpp,CMainFrame::OnViewStyle(UINT nCommandID),42,29,18,8,7,0,6,52,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MainFrm.cpp,CMainFrame::OnViewCustomize(),4,4,4,0,0,1,0,3,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MainFrm.cpp,"CMainFrame::OnToolbarCreateNew(WPARAM wp,LPARAM lp)",17,14,12,3,3,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MainFrm.cpp,CMainFrame::OnApplicationLook(UINT id),67,52,36,13,15,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MainFrm.cpp,CMainFrame::OnUpdateApplicationLook(CCmdUI* pCmdUI),2,2,2,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MainFrm.cpp,"CMainFrame::LoadFrame(UINT nIDResource, DWORD dwDefaultStyle, CWnd* pParentWnd, CCreateContext* pContext)",25,18,12,5,5,0,2,13,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles.cpp,CMFCSingleDocVehiclesApp::CMFCSingleDocVehiclesApp(),18,7,5,0,3,0,8,69,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles.cpp,CMFCSingleDocVehiclesApp::InitInstance(),84,41,32,7,18,2,25,211,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles.cpp,CMFCSingleDocVehiclesApp::ExitInstance(),5,3,3,1,1,0,1,8,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles.cpp,CAboutDlg::CAboutDlg(),1,1,1,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles.cpp,CAboutDlg::DoDataExchange(CDataExchange* pDX),2,2,2,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles.cpp,CMFCSingleDocVehiclesApp::OnAppAbout(),3,3,3,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles.cpp,CMFCSingleDocVehiclesApp::PreLoadState(),6,6,6,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles.cpp,CMFCSingleDocVehiclesApp::LoadCustomState(),1,1,1,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles.cpp,CMFCSingleDocVehiclesApp::SaveCustomState(),1,1,1,0,0,0,0,0,
