File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesDoc.cpp,CMFCSingleDocVehiclesDoc::AssertValid() const,2,2,2,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesDoc.cpp,CMFCSingleDocVehiclesDoc::Dump(CDumpContext& dc) const,2,2,2,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesView.cpp,CMFCSingleDocVehiclesView::CMFCSingleDocVehiclesView(),3,1,1,0,1,0,1,5,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesView.cpp,CMFCSingleDocVehiclesView::~CMFCSingleDocVehiclesView(),1,1,1,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesView.cpp,CMFCSingleDocVehiclesView::PreCreateWindow(CREATESTRUCT& cs),5,2,2,1,1,0,2,13,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesView.cpp,CMFCSingleDocVehiclesView::OnInitialUpdate(),41,16,16,0,8,0,17,77,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesView.cpp,"CMFCSingleDocVehiclesView::OnRButtonUp(UINT , CPoint point)",3,3,3,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesView.cpp,"CMFCSingleDocVehiclesView::OnContextMenu(CWnd* , CPoint point)",4,4,2,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesView.cpp,"CMFCSingleDocVehiclesView::ShowSelectedItemInList(CString id, CString name, CString maxFuelCapacity, CString fuelUsage, CString fuelRemaining, CString drivenDistance)",12,9,9,0,2,6,1,13,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesView.cpp,CMFCSingleDocVehiclesView::AssertValid() const,2,2,2,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesView.cpp,CMFCSingleDocVehiclesView::Dump(CDumpContext& dc) const,2,2,2,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesView.cpp,CMFCSingleDocVehiclesView::GetDocument() const,3,3,3,1,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesView.cpp,"CMFCSingleDocVehiclesView::OnStyleChanged(int nStyleType, LPSTYLESTRUCT lpStyleStruct)",3,2,2,0,0,0,1,15,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\LeftView.h,CLeftView::GetDocument(),1,1,1,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesView.h,CMFCSingleDocVehiclesView::GetDocument() const,1,1,1,0,0,0,0,0,
